shot,view,width,height,left,top,fps,exposure_in_us,lens,filter,date_time,n_frames,sensor_temperature,trigger
29541,HU01 Upper divertor view#1,256,24,1,153,7142.857142857079,49,,,2013-07-24T13:48:43,5357,59.0,-0.5
29540,,,,,,,,,,,,,
29539,,,,,,,,,,,,,
29538,HU01 Upper divertor view#1,256,24,1,153,892.0606601248909,49,,,2013-07-24T13:02:43,427,59.0,-0.5
29537,HU01 Upper divertor view#1,256,24,1,153,892.0606601248888,49,,,2013-07-24T12:43:55,171,59.0,-0.5
29536,HU01 Upper divertor view#1,256,24,1,153,892.8571428569579,49,,,2013-07-24T09:41:36,5639,59.0,-0.5
29535,,,,,,,,,,,,,
29534,,,,,,,,,,,,,
29533,,,,,,,,,,,,,
29532,,,,,,,,,,,,,
29531,HU01 Upper divertor view#1,256,24,1,153,7142.857142857079,49,,,2013-07-23T16:19:35,1344,59.0,-0.5
29530,HU01 Upper divertor view#1,256,24,1,153,7142.857142857079,49,,,2013-07-23T15:52:51,1344,59.0,-0.5
29529,,,,,,,,,,,,,
29528,,,,,,,,,,,,,
29527,,,,,,,,,,,,,
29526,,,,,,,,,,,,,
29525,HU01 Upper divertor view#1,256,24,1,153,7142.857142857079,49,,,2013-07-23T12:42:58,3980,59.0,-0.5
29524,HU01 Upper divertor view#1,256,24,1,153,7142.857142857079,49,,,2013-07-23T12:21:17,4109,59.0,-0.5
29523,,,,,,,,,,,,,
29522,HU01 Upper divertor view#1,256,24,1,153,7142.857142857079,49,,,2013-07-23T11:58:38,4330,59.0,-0.5
29521,HU01 Upper divertor view#1,256,24,1,153,7142.857142857079,49,,,2013-07-23T11:31:07,4337,59.0,-0.5
